Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet,Clarà,285000,4,123
Ático,Prat de Cunit,409000,4,110
Piso,Calle de I'Ebre 5,87000,1,36
Chalet,Calle Doctor Campalans i Puig 4,239000,3,94
Ático,Centre,145800,1,57
Chalet,Calle Mestre Trujols,180000,6,28
Chalet,Calle Guifré 38,210000,5,199
Chalet,Avenida de la Generalitat 12,425000,6,232
Chalet,Calle Sant Antoni 41,65000,3,96
Chalet,Calle Júpiter 3,570000,4,123
Casa Rural,Camino de Riudecols s/n,285000,3,107
Chalet,Calle Doctor Campalans i Puig 4,239000,3,115
Duplex,Avenida de Salou 128,179000,4,138
Chalet,Calle del Pou de la Taurana 5,750000,5,300
Piso,Verge de Montserrat s/n,139000,3,119
Ático,Centre,145800,1,60
Piso,Calle de I'Ebre 5,87000,1,36
Ático,Paseo de Prim 12,295000,6,188
Chalet,Calle Guifré 38,210000,5,200
Piso,Calle de Santiyan 1,165000,3,101
Piso,Ronda del Mar 6,169800,1,5
Chalet,Xipres s/n,590000,4,142
Piso,Calle de Carles Roig,203000,4,134
Chalet,Calle Canet lo Roig 22,160000,3,84
Ático,Calle San Jordi 4,152500,3,46
Ático,Plaza Catalunya 7,895000,3,115
Piso,Paseo Maritim 53,278000,4,130
Chalet,Santiago Rusiñol s/n,590000,4,131
Chalet,Calle Mas del Vidalet s/n,395000,4,133
Piso,Carretera del Far 26,129600,2,73
Chalet,Calle de la Punta Roja 5,1250000,4,286
Chalet,Avenida museu 53,370000,6,3000
Chalet,urb.paradis s/n,278000,3,97
Chalet,del roser 1 b,595000,4,324
Chalet,Coma-Ruga,825000,4,138
Chalet,Passatge Gregal,399000,3,120
Chalet,mas tells s/n s/n,825000,6,14.000
Chalet,Calle Beat Bonaventura Gran,415000,4,366
Piso,Camino Vell Pobla Montornès,125000,3,117
Piso,Clarà,79900,1,50
Chalet,Calle Mas d'en Vernet,380000,3,42
Chalet,Urbanitzacions de Llevant,799000,6,200
Duplex,Sant Isidre,199500,3,20
Piso,Calle del Governador González 14,298000,3,87
Chalet,Calle Holanda,210000,6,248
Chalet,Els Munts,295000,4,159
Chalet,Calle Mirador 6,499000,5,164
Piso,CAMPOAMOR 4,298000,4,156
Chalet,Calle Holanda,210000,6,248
Chalet,Els Munts,295000,4,134
Chalet,Calle Mirador 6,499000,5,189
Piso,Paseo de Prim,139000,5,186
Piso,Calle Navarra,106000,3,106
Ático,Calle de Miquel Planas,650000,3,107
Piso,Calle de Ventura Gassol,339000,4,153
Chalet,Avenida Catalunya,320000,4,158
Chalet,Avenida Catalunya,210000,3,104
Piso,Pescadors,128000,3,108
Chalet,La Mora,430000,5,40
Chalet,Avenida Vall d'Aran 47,545000,6,560
Chalet,Calle Major,215000,4,130
Casa Rural,MAYOR,275000,4,60
Piso,Calle d'Antoni de Bofarull,169000,4,128
Chalet,C. CAP DE BLANES,215000,4,131
Chalet,Calle Joan Sebastià Bach,340000,4,134
Chalet,Calle Ramón Berenguer IV,218000,3,88
Duplex,Calle de la Torrassa,275000,2,12
Chalet,Margarides,660000,6,345
Piso,Anoia,420000,3,107
Duplex,Calle de Riudecols,217500,3,52
Piso,Calle de Joan Coromines,195000,4,98
Piso,Calle del Vendrell,110000,2,79
Piso,Joan Carles 1,117000,2,70
Chalet,877260296,Calle de la Sinia,247000,602
Chalet,Avenida Lituània,350000,4,135
Piso,Calle de Frederic Mompou,339000,4,151
Chalet,Aufinac,790000,4,129
Chalet,Pamplona,315000,4,128
Chalet,Avenida Republica Argentina,750000,4,700
,877260592,Mas d'en Victor,0,32
Casa Rural,la planeta s/n,495000,6,232
Chalet,Eixample Residencial,267000,4,159
Chalet,Calle Geranis,219000,3,82.91
Piso,Calle Tramontana,89900,2,78
Piso,Plaza de Lluís Companys,179000,3,112
Piso,Calle Ample 30,185000,2,78
Piso,Argentera,167900,4,141
Piso,Calle Ample 30,185000,2,76
Piso,Calle Francolí,120000,3,113
Chalet,Valls,299000,4,50
Piso,Calle Macià Mallol i Bosch,179000,4,136
Piso,Calle Nou de Sant Oleguer,139000,3,99
Chalet,Avenida Granada 20 -22,136890,4,199
Piso,Calle del Monestir de Poblet,375000,4,138
Piso,Riera MIRÓ,107500,3,28
Piso,Calle Terra Alta,95000,2,60
Chalet,Avenida Sra. Magdalena Martorell,80000,4,144
Chalet,Calle de l'Era,399000,7,600
Piso,Prat de Cunit,185500,2,52
Chalet,Calle Cèsar Martinell,420000,4,158
Chalet,Calle Regne de Mallorca,220000,4,176
Chalet,Centro,215000,3,27.889
Chalet,barrio Centro,375000,4,120
Chalet,Via lactea,575000,5,186
Ático,Calle Olivarda,109900,2,66
Piso,antina,450000,3,105
Casa Rural,Camino de Lligallo,218000,3,23.889
Chalet,vallespir,445000,4,136
Piso,Doctor Fleming 7,109000,2,52
Piso,MARGARITA XIRGU 4,120000,2,75
Casa Rural,Major,147500,4,400
Chalet,Santiago Rossinyol,269000,5,167
Chalet,Calle pi,390000,4,500
Chalet,Calle del Montseny,275000,6,208
Piso,Paseo de la Independència,248000,2,73
Piso,Paseo del Mediterrani,130000,2,94
Chalet,La Bisbal del Penedès,252000,6,270
Chalet,La Pobla de Montornès,325000,4,202
Chalet,Puig Cerver,399900,5,286
Chalet,Avellaners,397000,5,197
Chalet,comarques catalanes,259000,4,167
Chalet,Xalets de Salou - Mirador de Salou,446000,4,130
Ático,barrio Centro,190000,2,73
Chalet,Castellvell del Camp,490000,5,164
Chalet,Els Masos,500000,4,140
Chalet,barrio Nucli Urbà,245000,4,141
Chalet,Centro,160000,5,20
Chalet,barrio Els Ametllers,795000,4,440
Chalet,barrio Nucli Urbà,245000,4,137
Piso,Ponent,260000,3,107
Chalet,Centro,160000,5,20
Piso,Calle del mar s/n,250000,3,84
Chalet,barrio Jardins de Vilafortuny - Más d'en Bosch,625000,3,200
Casa Rural,Santa Oliva,189000,3,224
Ático,Casc Antic - Nou Cambrils,240000,3,114
Chalet,Sant Jaume d'Enveja,78000,3,40
Chalet,Els Masos,500000,4,130
Chalet,Castellvell del Camp,490000,5,162
Piso,Eixample,233000,2,80
Piso,Nou Eixample Nord,375000,4,153
Chalet,Santa Oliva,425000,5,636
Piso,Residencial,140000,3,113
Chalet,Albinyana,260000,4,152
Piso,Platja Calafell,325000,4,133
Chalet,Costa Cunit - Els Jardins - Els Rosers,210000,4,1.596
Chalet,Residencial,219000,3,86
Chalet,Calle de la Plana de Vic,290000,4,128
Piso,Constanti,123000,2,60
Chalet,Acacias,385000,4,2150
Chalet,Residencial,302000,3,90
Chalet,La Mora,2195000,5,1.135
Chalet,barrio Cambrils Mediterrani,385000,5,175
Piso,El Morell,99900,4,159
Chalet,Calle Cadí,249000,4,123
Piso,Calle de Frederic Mompou,345000,4,130
Chalet,Calle de la Via Làctia,265000,5,160
Duplex,Rambla de Jaume I,330000,3,105
Chalet,Montsia,235000,4,366
Piso,Montsià de Mar,127500,2,71
Chalet,Montsià de Mar,330000,4,180
Piso,Centro,82000,2,76
Chalet,Sant Josep-Mercat,575000,4,515
Chalet,Les Tres Cales,1470000,4,134
Chalet,Les Cases d'Alcanar,198000,3,138
Piso,Platjas,175000,2,98
Casa Rural,Camarles,219990,8,341
Chalet,El Tancat - Mas d'en Gual,149500,3,100
Casa Rural,Camarles,219990,8,383
Piso,El Maset,122000,3,107
Piso,Calle de l'Oli,229000,3,86
Piso,Avenida dels Països Catalans,244900,4,120
Piso,p. martell,250000,5,162
Chalet,La Muntanyeta,257500,4,159
Ático,Calle frederic mompou 10,312000,3,18
Piso,Can Nicolau - Les Sorres - Valparaiso,132000,2,8
Piso,Calle de Francesc Gil de Frederic,94300,3,86
Piso,Calle de València,275000,3,25
Chalet,Alforja,300000,9,540
Ático,vidal barraqjuer,359000,4,139
Chalet,Martineta,299000,3,83
Chalet,Mestral,870000,5,490
Chalet,Punta del Banc,186000,4,121
Casa Rural,Guiamets (Els),320000,7,420
Piso,Calle de Mossèn Joan Batalla,226500,2,79
Piso,Pere martell,147000,4,140
Piso,Travesía de Barcelona,120000,3,82
