C. Autónoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Región de Murcia,Murcia,Piso,Avenida Francisco Jimenez Ruiz 18,106,3,420000
Región de Murcia,Murcia,Atico,Calle Espinardo,170,3,248000
Región de Murcia,Murcia,Piso,Calle Musico Antonio Rodriguez de Hita,111,3,189900
Región de Murcia,Murcia,Duplex,Avenida Juan Carlos I El puntal,40,4,230000
Región de Murcia,Murcia,Chalet,Calle Junco,142,4,154000
Región de Murcia,Murcia,Chalet,Rosario 39,80,3,115000
Región de Murcia,Murcia,Chalet,Paseo del Malecon,2500,6,480000
Región de Murcia,Murcia,Chalet,Calle de Los Canos 3,717,6,380000
Región de Murcia,Murcia,Piso,El Carmen,143,5,221500
Región de Murcia,Murcia,Atico,Calle de La Cruz s/n,175,5,345000
Región de Murcia,Murcia,Duplex,Libertad,215,3,205000
Región de Murcia,Murcia,Chalet,Calle Valle 39,1137,4,350000
Región de Murcia,Murcia,Piso,Plaza Juan XXIII,98,3,295000
Región de Murcia,Murcia,Piso,Plaza Jose Esteve Mora,176,3,390000
Región de Murcia,Murcia,Piso,Calle Seda,85,3,150000
Región de Murcia,Murcia,Piso,Calle Princesa,138,4,189000
Región de Murcia,Murcia,Piso,Plaza Juan XXIII 11,100,3,185000
Región de Murcia,Murcia,Atico,Cobatillas,80,2,105000
Región de Murcia,Murcia,Piso,Calle Torre de Romo,60,2,125000
Región de Murcia,Murcia,Piso,barrio San Miguel,106,3,335000
Región de Murcia,Murcia,Chalet,Diseminado Carretera Beniel 93 A,1800,3,370000
Región de Murcia,Murcia,Atico,Monteagudo,107,3,125000
Región de Murcia,Murcia,Chalet,Calle Gilandario,84,3,99900
Región de Murcia,Murcia,Piso,Calle Rosalia de Castro 42,94,3,174000
Región de Murcia,Murcia,Piso,barrio Santiago el Mayor,89,3,125000
Región de Murcia,Murcia,Chalet,Calle Pedaneo Francisco Hernandez s/n,90,3,299900
Región de Murcia,Murcia,Piso,Calle Comunidad - Periodista Julia Otero y Camino Bartolejos s/n,102,3,204800
Región de Murcia,Murcia,Chalet,Calle Pedaneo Francisco Hernandez s/n,98,3,360000
Región de Murcia,Murcia,Piso,Calle Comunidad - Periodista Julia Otero y Camino Bartolejos s/n,108,3,193600
Región de Murcia,Murcia,Piso,barrio La Alberca,40,2,105000
Región de Murcia,Murcia,Piso,Avenida Juan Carlos I 77,112,3,226400
Región de Murcia,Murcia,Chalet,868355367,0,380000,Calle Marbella s/n
Región de Murcia,Murcia,Chalet,868355367,10,345000,Calle Marbella s/n
Región de Murcia,Murcia,Piso,Avenida Rio Madera  s/n,120,3,326000
Región de Murcia,Murcia,Chalet,Calle Mariano Rojas,137,4,235000
Región de Murcia,Murcia,Chalet,868355367,0,320000,Calle Marbella s/n
Región de Murcia,Murcia,Piso,Avenida Juan Carlos I 77,113,3,273900
Región de Murcia,Murcia,Piso,Paseo Joaquin Garrigues Walker 18,115,3,340000
Región de Murcia,Murcia,Piso,Calle San Antonio,83,3,41000
Región de Murcia,Murcia,Piso,Calle Nuestra Senora Paso,12,2,109000
Región de Murcia,Murcia,Piso,Calle Escuelas,141,4,100000
Región de Murcia,Murcia,Chalet,Diseminado Carril Romera 64,41,0,249900
Región de Murcia,Murcia,Piso,Calle Alejandro Seiquer 2,196,5,415000
Región de Murcia,Murcia,Piso,Diseminado Camino Viejo Aljucer,122,3,94000
Región de Murcia,Murcia,Piso,Calle San Juan 4,90,3,112500
Región de Murcia,Murcia,Piso,Via gran 12,171,5,875000
