Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet,Port d'Andratx,7900000,6,850
Chalet,Sa Torre,1200000,5,360
Piso,Calle d'Antonio Machado,425000,3,74
Chalet,Badia Blava-Badia Gran-Tolleric,549000,5,187
Piso,Calle Ruiz i Pablo,185000,3,124
Piso,Can Picafort,223000,1,57
Casa Rural,Placeta de Sant Roc,499000,3,114
Casa Rural,Plaza de s'Esplanada,340000,5,278
Piso,barrio Sant Agustí,3395000,3,100
Piso,barrio Cala Major,342000,2,86
Piso,barrio Ses Cadenes-Arenal,390000,4,140
Casa Rural,Zona periurbana,1550000,3,152
Chalet,Andratx Pueblo,990000,3,118
Casa Rural,Cala d'Or,4950000,4,50
Chalet,barrio Centre Històric,325000,2,72
Chalet,barrio Moli des Pla,1050000,4,144
Chalet,barrio S'Aranjassa - Es Pil.larí,1290000,6,9.200
Piso,Plaza de la Quartera,499000,2,63
Piso,Port d'Andratx,445000,2,60
Chalet,Cala Llonga-Sa Mesquida,525000,3,93
Piso,barrio Marqués de la Fontsanta,450000,3,110
Piso,Son Amonda - Reis Catòlics,235000,3,144
Piso,barrio Can Pastilla,273000,2,90
Chalet,Sant Jordi de Ses Salines,3500000,5,350
Piso,Portixol-Molinar,1995000,4,143
Duplex,barrio Hostalets - Son Fortesa Sud,285000,3,80
Ático,Sa Torre,325000,3,95
Duplex,barrio Hostalets - Son Fortesa Sud,285000,3,80
Piso,barrio Coll d'En Rabassa,350000,3,101
Piso,barrio Les Maravelles,189500,1,50
Piso,mar y estany,249000,2,65
Duplex,Port de Pollença,745000,2,55
Piso,Pollença,265000,2,61
Casa Rural,Pollença,430000,4,100
Piso,barrio Foners,1150000,3,291
Duplex,Maioris-Puig de Ros,399000,3,109
Piso,barrio Son Espanyolet,499000,1,42
Piso,Palmanova,695000,3,115
Chalet,Costa d'En Blanes,3500000,3,84
Chalet,Montuiri,1200000,9,491
Piso,barrio Sant Jaume,2150000,2,79
Chalet,Esporles,1750000,4,252
Ático,barrio Camp d'En Serralta ,549000,2,72
Piso,Costa d'En Blanes,650000,3,146
Chalet,Calle Sa Vinya,930000,4,120
Chalet,barrio El Terreno,1200000,3,253
Chalet,barrio Son Vida,4495000,5,191
Piso,barrio La Bonanova - Porto Pi,297000,3,93
Chalet,Calle Semolera,365000,5,172
Piso,Calle del Bisbe Bernat Nadal,189990,1,41
Chalet,Petra,1390000,4,128
Piso,Avenida del Comte de Sallent,950000,3,186
Ático,Avenida d'Alcúdia,219900,2,87
Duplex,barrio Son Dameto,319000,3,80
Chalet,Calle Pere d'Alcántara Penya,775000,4,144
Piso,Calle del Pare Bartomeu Pou,375000,4,152
Piso,Calle Francisco de Goya,630000,2,71
Piso,Avenida Gaspar de Bennazar,370000,4,145
Chalet,Calvià pueblo,2295000,5,2100
Ático,Calle de Ramon Medel,389000,3,165
Casa Rural,Camino Son Grau 1,577730,5,190
Chalet,Avenida Palma,4500000,8,366
Chalet,Ses Salines (Mallorca),238000,2,100
Piso,Marina Botafoc - Talamanca,3000000,3,81
Piso,Avenida de Gabriel Alomar,530000,4,182
Piso,Calle de Sant Bartomeu,4450000,3,96
Duplex,Calle de Jaume Vidal Alcover,485000,3,94
Duplex,Calle de Jaume Vidal Alcover,485000,3,101
Piso,Calle Nicolau de Pacs,265000,2,76
Piso,Calle Major,199000,2,59
Chalet,Pollença,1790000,3,25
Chalet,Calle Cala Saona,1890000,5,509
Piso,barrio La Missio - Mercat,560000,2,66
Chalet,Carrer des Castellot s/n,744590,3,88
Chalet,barrio Son Vida,6900000,5,182
Chalet,Ses Salines (Mallorca),1650000,4,250
Chalet,Port d'Andratx,4300000,3,110
Piso,Calle de Jacinto Benavente,220000,3,106
Chalet,Calle de Burgos s/n,2750000,4,1.000
Chalet,Calle 24,370000,3,400
Piso,MARBELLA 20,325000,2,74
Piso,Paseo de Mallorca,535000,3,118
Piso,Plaza Bonanova,619000,3,115
Ático,Calle de la Santa Maria,675000,4,123
Chalet,San Agustín - Cala de Bou,2750000,4,155
Chalet,Calle de la Font,950000,5,234
Chalet,Montuiri,345000,4,15
Chalet,Calle de Girona,450000,8,115
Casa Rural,Diseminado Diseminados Var s/n,2450000,5,39000
Chalet,Llucmajor Interior,390000,4,154
Piso,Calle de la Trobada s/n,195000,3,79
Piso,Calle Gran Via,251000,2,80
Piso,Calle des Barranc,490000,3,88
Piso,Avenida de Gabriel Alomar,440000,4,130
Piso,Calle de Joan Ripoll i Trobat,370000,2,66
Chalet,Calle Civada,649500,5,210
Duplex,Calle Sol des,349000,3,182
Piso,Portals Nous - Bendinat,525000,3,90
Chalet,pompeu fabra,860000,4,230
Chalet,Palmanova,895000,4,171
Piso,Calle del Marquès de la Fontsanta,585000,3,106
Piso,Calle de Pere Oliver Domenge,215999,3,75
Chalet,barrio Can Furnet,3600000,4,139
Chalet,Calle dels Bons Aires,548000,6,297
Chalet,Calle de Pere Antoni Mataró,748000,4,200
Chalet,Cala Pi-Vallgornera,390000,2,153
Ático,Plaza constitucion s/n,610000,2,130
Chalet,Calle de Victòria Ramis d'Ayreflor,1200000,6,581
Chalet,barrio Roca Llisa,3500000,5,400
Chalet,Calle Polls,1365500,4,34
Chalet,barrio Son Roca - Son Ximelis - Son Anglada,1698000,6,500
Casa Rural,Llucmajor Interior,1690000,4,7.288
Piso,barrio Camp d'En Serralta ,750000,3,137
Chalet,Badia Blava-Badia Gran-Tolleric,510000,3,204
Chalet,Llucmajor Interior,325000,3,101
Piso,barrio Pere Garau,350000,3,40
Duplex,barrio Foners,320000,4,106
Casa Rural,Sencelles,995000,5,175
Chalet,Sant Rafel de sa Creu,4395000,4,148
Piso,Santa Ponça,989000,3,148
Duplex,Avenida de Gabriel Roca,450000,2,63
Piso,Avenida Bella Vista,450000,3,204
Piso,Pare Jeroni Boscana s/n,364000,3,118
Ático,Calle de Margaluz,385000,2,60
Piso,Cala Millor,255000,2,80
Chalet,Calle Ponent,2100000,6,200
Piso,Calle Germans Moncada,289000,3,9
Ático,barrio Foners,499000,3,90
Chalet,Cala Vedella - Cala Tarida - Cala Conta,1200000,2,63
Chalet,barrio Roca Llisa,3500000,5,164
Chalet,Calle de Sa Sinia des Muret,775000,4,134
