"provincia","tipo/lugar","link","precio","caracteristicas","info","otros"
"Cantabria","Piso en Barrio Mioño, 111, Mioño-Santullán, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/99129929/","200,000 €","3 hab. 93 m² Bajo exterior sin ascensor","Castro Inmobiliaria Era vende en exclusiva planta baja en la zona de playa de Mioño con vistas a la playa de Dícido a 5 minutos de Castro. Mioño es una pedanía de Castro Urdiales. Es un histórico núcl",""
"Cantabria","Piso en Castelar, 15, Puerto Chico, Santander","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/86399139/","2,500,000 €","3 hab. 229 m² Planta 3ª exterior con ascensor","Puertochico a sus pies. Como un diamante en bruto, déjese cautivar, sienta el privilegio de ser residente de una de las calles más emblemáticas de la ciudad de Santander, Castelar. Destacado por su ex",""
"Cantabria","Dúplex en Andres De La Llosa, Brazomar, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/100576227/","342,000 €","4 hab. 145 m² Planta 3ª exterior con ascensor","***EXCLUSIVA INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende IMPRESIONANTE ATICO dúplex LUMINOSO y GRANDE de 4 habitaciones con VISTAS DESPEJADAS AL MAR Y A LA MONTAÑA con",""
"Cantabria","Piso en paseo Menéndez Pelayo, Brazomar, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/101540857/","267,000 €","2 hab. 78 m² Planta 2ª exterior con ascensor","Inmobiliaria ERA vende piso de dos habitaciones en Brazomar. Situado en una de las zonas más demandadas de todo Castro por su cercanía con la playa de Brazomar, de arena fina natural, localizada a uno",""
"Cantabria","Dúplex en calle Leonardo Rucabado, 13, Brazomar, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/99394591/","300,000 €","3 hab. 118 m² Planta 7ª exterior con ascensor","Inmobiliaria ERA vende ático dúplex con orientación sur en el centro de Castro Urdiales. El inmueble cuenta con todos los servicios al alcance, tales como: farmacias, supermercados, todo tipo de comer",""
"Cantabria","Piso en calle 1 de Mayo, 4, Playa Ostende, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/98129919/","385,000 €","3 hab. 103 m² Planta 3ª exterior con ascensor","Inmobiliaria Era vende en EXCLUSIVA piso a estrenar en la mejor zona de Ostende en Castro. Distancia al pueblo 6 minutos andando, y a la Playa de Ostende 5 minutos. En un edificio con excelentes mater",""
"Cantabria","Piso en calle República Argentina, 2, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/99591312/","175,000 €","3 hab. 108 m² Semi-sótano exterior con ascensor","Castro Inmobiliaria Era vende piso a estrenar con grandes dimensiones en pleno Centro del pueblo. Se vende amueblado y a estrenar. Por encontrarse en el Centro tiene el centro de salud al lado y todos",""
"Cantabria","Piso en calle Venancio Bosco, 12, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/100211158/","205,000 €","3 hab. 110 m² Planta 1ª exterior con ascensor","Inmobiliaria ERA vende piso en pleno centro de Castro Urdiales. Ubicado en un situación privilegiada rodeado de todos los servicios tales como colegios, farmacias, zona de ocio e infantiles, paradas d",""
"Cantabria","Piso en calle Ataúlfo Argenta, 4, Cotolino, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/101050821/","196,000 €","2 hab. 69 m² Planta 1ª exterior con ascensor","Inmobiliaria ERA vende 1º piso a escasos metros de la playa de Brazomar. Ubicado en la mejor zona de Cotolino y una de las más demandadas de Castro, sin cuestas y la playa de Brazomar a escasos metros",""
"Cantabria","Piso en calle Los Caserios, 15, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/101173888/","225,000 €","3 hab. 95 m² Planta 2ª exterior con ascensor","Inmobiliaria ERA vende piso de 3 habitaciones en el centro de Castro. El inmueble localizado en pleno centro de Castro Urdiales con todos los servicios al alcance, tales como: farmacias, supermercados",""
